garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_2,0,1,150,5,3.74,6.51,1.78,18.71,20.34,14
Top_Long_Seen_2,1,1,150,5,2.82,2.9,2.64,18.65,19.69,14
Top_Long_Seen_2,2,1,500,5,6.82,7.98,5.45,18.89,16.62,45
Top_Long_Seen_2,3,1,150,5,2.36,6.9,3.25,18.44,21.21,15
Top_Long_Seen_2,4,0,-1,4,8.06,15.7,7.67,18.93,18.32,56
Top_Long_Seen_2,5,1,150,5,1.78,4.35,2.94,18.69,19.85,14
Top_Long_Seen_2,6,1,150,5,2.16,4.5,4.14,18.66,19.98,14
Top_Long_Seen_2,7,0,-1,3,9.55,29.08,7.57,18.84,12.47,56
Top_Long_Seen_5,0,1,250,5,4.04,6.69,3.91,18.76,17.14,24
Top_Long_Seen_5,1,0,-1,2,20.15,39.26,10.9,18.83,14.64,55
Top_Long_Seen_5,2,1,150,5,4.23,8.29,1.6,18.84,18.85,15
Top_Long_Seen_5,3,0,-1,2,16.13,18.58,10.14,19.04,15.07,56
Top_Long_Seen_5,4,0,-1,2,10.39,20.96,8.56,18.68,10.23,56
Top_Long_Seen_5,5,0,-1,1,13.66,30.62,16.5,19.04,4.06,56
Top_Long_Seen_5,6,0,-1,3,19.07,34.06,7.06,17.44,20.01,56
Top_Long_Seen_5,7,0,-1,4,4.27,2.43,5.4,19.7,11.84,56
Top_Long_Seen_9,0,0,-1,2,23.26,52.09,25.04,16.73,18.51,52
Top_Long_Seen_9,1,0,-1,2,23.0,57.16,25.43,16.54,21.46,52
Top_Long_Seen_9,2,0,-1,2,23.25,54.81,25.72,16.68,18.23,53
Top_Long_Seen_9,3,0,-1,2,23.64,53.77,25.8,16.8,20.97,53
Top_Long_Seen_9,4,0,-1,2,23.74,54.61,25.81,17.0,21.59,52
Top_Long_Seen_9,5,0,-1,2,23.47,53.54,25.51,16.69,21.97,53
Top_Long_Seen_9,6,0,-1,2,23.98,53.69,24.98,16.46,22.28,54
Top_Long_Seen_9,7,0,-1,2,23.39,55.27,25.25,16.75,18.74,54
Top_Long_Unseen_0,0,0,-1,1,25.77,32.61,19.87,12.84,11.54,51
Top_Long_Unseen_0,1,1,150,5,8.08,5.79,6.26,12.69,15.06,14
Top_Long_Unseen_0,2,0,-1,4,2.91,26.16,6.35,13.06,16.8,53
Top_Long_Unseen_0,3,0,-1,4,8.15,32.86,7.63,12.8,16.42,52
Top_Long_Unseen_0,4,1,150,5,3.79,5.31,3.87,13.02,14.07,14
Top_Long_Unseen_0,5,0,-1,3,18.41,31.32,3.46,13.12,13.58,52
Top_Long_Unseen_0,6,0,-1,4,2.17,20.3,4.47,13.22,17.53,53
Top_Long_Unseen_0,7,0,-1,3,4.54,31.46,18.36,13.06,17.39,53
