garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_0,0,1,150,5,7.07,7.21,6.71,23.59,18.2,17
Top_Long_Seen_0,1,1,150,5,5.36,6.41,4.44,19.67,16.51,17
Top_Long_Seen_0,2,0,-1,4,3.95,6.1,27.04,25.62,17.42,67
Top_Long_Seen_0,3,0,-1,2,14.94,12.88,10.22,23.8,17.92,74
Top_Long_Seen_0,4,0,-1,2,25.2,40.85,26.46,23.51,18.56,70
Top_Long_Seen_0,5,0,-1,4,4.96,8.36,9.8,23.76,14.25,69
Top_Long_Seen_0,6,0,-1,2,20.73,14.82,7.9,16.6,18.59,70
Top_Long_Seen_0,7,0,-1,3,10.16,3.84,8.27,25.62,18.62,69
Top_Long_Seen_0,8,0,-1,2,15.57,11.25,10.61,25.08,17.64,70
Top_Long_Seen_0,9,1,150,5,3.64,5.81,6.86,19.95,17.9,17
Top_Long_Seen_1,0,1,150,5,4.2,4.98,7.15,18.96,12.07,17
Top_Long_Seen_1,1,1,150,5,4.87,5.38,4.86,19.13,17.96,17
Top_Long_Seen_1,2,1,150,5,2.75,5.34,2.27,18.99,18.94,16
Top_Long_Seen_1,3,1,150,5,1.81,3.22,1.55,18.98,20.51,16
Top_Long_Seen_1,4,0,-1,4,2.81,16.39,3.12,19.01,20.9,67
Top_Long_Seen_1,5,0,-1,2,21.44,34.54,25.34,18.3,19.66,71
Top_Long_Seen_1,6,0,-1,2,21.92,37.5,25.27,18.25,20.09,68
Top_Long_Seen_1,7,1,150,5,2.96,5.0,1.57,18.89,21.73,17
Top_Long_Seen_1,8,1,150,5,4.99,6.32,4.4,18.49,13.39,17
Top_Long_Seen_1,9,0,-1,4,4.09,16.32,5.78,17.59,21.11,71
Top_Long_Seen_2,0,1,300,5,2.86,3.11,4.43,18.74,19.19,35
Top_Long_Seen_2,1,1,150,5,2.55,1.88,3.06,18.69,19.38,18
Top_Long_Seen_2,2,1,150,5,3.1,8.28,3.6,18.75,17.45,18
Top_Long_Seen_2,3,1,200,5,3.13,8.85,5.43,18.79,17.87,24
Top_Long_Seen_2,4,1,150,5,1.76,7.12,1.97,18.65,18.48,18
Top_Long_Seen_2,5,1,200,5,9.01,13.53,7.81,18.48,18.96,24
Top_Long_Seen_2,6,1,150,5,5.64,2.92,4.92,18.34,18.59,18
Top_Long_Seen_2,7,1,150,5,1.91,4.81,3.15,18.79,18.04,19
Top_Long_Seen_2,8,1,250,5,2.98,4.86,4.26,18.63,19.06,30
Top_Long_Seen_2,9,1,150,5,5.0,6.72,4.01,18.86,21.24,18
Top_Long_Seen_3,0,0,-1,2,23.15,26.03,23.86,15.58,15.07,73
Top_Long_Seen_3,1,0,-1,2,22.97,32.6,24.54,17.86,16.28,74
Top_Long_Seen_3,2,0,-1,2,22.6,32.9,22.99,15.33,12.15,72
Top_Long_Seen_3,3,0,-1,2,23.13,36.75,24.07,16.31,14.99,71
Top_Long_Seen_3,4,0,-1,2,24.01,35.55,24.46,14.83,12.36,72
Top_Long_Seen_3,5,1,150,5,7.46,5.02,1.23,15.46,20.52,18
Top_Long_Seen_3,6,0,-1,1,23.33,17.82,23.68,16.65,11.15,71
Top_Long_Seen_3,7,0,-1,2,23.63,30.11,24.38,16.27,11.97,73
Top_Long_Seen_3,8,0,-1,2,23.07,35.75,23.71,16.84,12.77,70
Top_Long_Seen_3,9,0,-1,2,22.78,34.15,24.01,15.89,12.12,71
Top_Long_Seen_4,0,1,150,5,5.1,3.52,4.42,17.46,18.51,19
Top_Long_Seen_4,1,0,-1,4,2.91,5.12,17.13,17.63,21.59,79
Top_Long_Seen_4,2,0,-1,4,5.54,19.92,6.47,17.52,22.17,70
Top_Long_Seen_4,3,1,150,5,3.4,7.54,3.46,17.27,18.3,19
Top_Long_Seen_4,4,1,200,5,2.05,6.59,5.75,17.48,20.46,26
Top_Long_Seen_4,5,1,200,5,4.26,5.06,5.4,17.37,19.42,27
Top_Long_Seen_4,6,1,250,5,4.64,7.56,5.28,17.54,18.0,33
Top_Long_Seen_4,7,1,250,5,2.62,6.71,8.15,14.52,20.62,32
