garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_2,0,1,150,5,2.59,1.56,4.42,18.74,19.46,15
Top_Long_Seen_2,1,1,150,5,2.83,3.66,3.07,18.68,20.68,15
Top_Long_Seen_2,2,1,150,5,4.28,3.9,4.02,18.57,18.88,16
Top_Long_Seen_2,3,1,450,5,1.92,14.11,6.67,18.76,22.25,45
Top_Long_Seen_2,4,0,-1,4,10.71,10.82,2.4,18.68,17.82,59
Top_Long_Seen_2,5,1,150,5,4.17,7.76,3.18,18.53,16.88,14
Top_Long_Seen_2,6,1,150,5,2.5,4.08,4.29,18.56,19.96,15
Top_Long_Seen_2,7,0,-1,2,28.53,47.34,26.79,18.28,21.3,64
Top_Long_Seen_5,0,1,200,5,1.54,2.95,7.93,18.81,17.23,21
Top_Long_Seen_5,1,1,250,5,7.17,12.99,6.96,16.32,17.01,26
Top_Long_Seen_5,2,1,150,5,3.43,3.75,5.3,18.19,16.71,15
Top_Long_Seen_5,3,1,200,5,3.16,2.35,8.64,17.75,13.69,21
Top_Long_Seen_5,4,0,-1,2,24.92,18.29,29.15,18.3,17.94,67
Top_Long_Seen_5,5,0,-1,2,26.28,29.03,30.47,18.61,17.32,65
Top_Long_Seen_5,6,0,-1,2,25.61,24.88,29.56,17.75,17.64,67
Top_Long_Seen_5,7,1,300,5,1.59,2.4,8.42,19.27,18.6,32
Top_Long_Seen_9,0,1,150,5,3.96,1.57,4.95,17.15,21.04,16
Top_Long_Seen_9,1,1,150,5,9.97,4.32,3.01,16.93,21.91,17
Top_Long_Seen_9,2,1,450,5,2.73,9.16,3.67,17.3,15.92,49
Top_Long_Seen_9,3,1,550,5,8.01,2.83,5.63,17.53,21.86,60
Top_Long_Seen_9,4,0,-1,4,7.09,6.68,18.34,17.68,20.15,70
Top_Long_Seen_9,5,0,-1,2,23.48,33.44,25.19,16.95,21.88,67
Top_Long_Seen_9,6,1,150,5,6.31,6.22,2.23,17.14,22.37,17
Top_Long_Seen_9,7,1,150,5,8.75,6.49,3.48,16.87,19.97,16
Top_Long_Unseen_0,0,0,-1,4,2.0,25.25,4.75,12.84,16.33,63
Top_Long_Unseen_0,1,1,150,5,2.41,3.03,3.96,12.65,13.54,15
Top_Long_Unseen_0,2,1,550,5,0.68,7.4,6.35,12.8,16.08,51
Top_Long_Unseen_0,3,0,-1,2,18.68,9.4,16.73,13.04,11.72,57
Top_Long_Unseen_0,4,0,-1,3,11.52,7.16,9.48,12.75,9.05,57
Top_Long_Unseen_0,5,0,-1,2,21.26,50.15,25.05,12.45,16.09,62
Top_Long_Unseen_0,6,0,-1,3,17.56,6.27,10.24,13.17,13.26,56
Top_Long_Unseen_0,7,0,-1,2,3.2,24.49,16.4,13.25,7.87,59
