garment,ep,success,step,n_pass,d0,d1,d2,d3,d4,sec
Top_Long_Seen_2,0,1,450,5,4.34,6.44,6.58,18.75,17.94,127
Top_Long_Seen_2,1,1,250,5,6.37,6.6,2.83,18.73,17.27,53
Top_Long_Seen_2,2,1,300,5,1.52,2.36,5.01,18.69,20.18,59
Top_Long_Seen_2,3,1,250,5,4.61,4.83,8.69,18.64,21.11,46
Top_Long_Seen_2,4,0,-1,4,9.77,5.56,15.02,18.61,19.24,97
Top_Long_Seen_2,5,1,400,5,3.73,6.16,6.56,18.85,19.75,73
Top_Long_Seen_2,6,0,-1,2,28.26,49.46,26.88,18.56,20.34,103
Top_Long_Seen_2,7,0,-1,3,17.06,6.17,16.35,18.46,18.08,88
Top_Long_Seen_5,0,0,-1,4,6.96,3.96,9.87,19.34,18.53,89
Top_Long_Seen_5,1,0,-1,2,25.92,16.8,28.1,17.44,16.44,99
Top_Long_Seen_5,2,1,250,5,3.33,3.52,4.43,18.92,14.78,39
Top_Long_Seen_5,3,1,250,5,1.38,5.31,6.63,18.11,15.42,40
Top_Long_Seen_5,4,1,550,5,2.85,4.35,7.62,17.51,14.19,93
Top_Long_Seen_5,5,0,-1,4,9.08,10.96,14.48,18.93,14.91,92
Top_Long_Seen_5,6,1,250,5,4.3,1.07,5.17,18.5,13.54,41
Top_Long_Seen_5,7,1,350,5,5.55,2.65,6.84,19.11,14.35,56
Top_Long_Seen_9,0,1,250,5,7.02,6.47,7.12,17.03,18.08,43
Top_Long_Seen_9,1,1,250,5,4.55,3.9,4.65,16.94,20.66,40
Top_Long_Seen_9,2,1,250,5,10.37,2.87,8.03,17.27,21.0,45
Top_Long_Seen_9,3,1,250,5,4.01,7.01,6.17,17.05,17.37,40
Top_Long_Seen_9,4,1,250,5,3.88,2.87,7.94,17.09,18.34,42
Top_Long_Seen_9,5,1,350,5,6.26,2.46,4.49,17.02,19.08,52
Top_Long_Seen_9,6,1,250,5,3.23,7.19,1.82,17.02,20.83,41
Top_Long_Seen_9,7,0,-1,3,12.75,6.58,2.49,17.1,11.91,89
Top_Long_Unseen_0,0,0,-1,4,2.8,12.29,3.58,12.75,16.74,92
Top_Long_Unseen_0,1,1,300,5,6.17,10.06,2.53,12.62,16.69,50
Top_Long_Unseen_0,2,1,500,5,1.89,2.71,5.79,12.77,16.77,83
Top_Long_Unseen_0,3,1,300,5,3.0,5.37,3.32,12.49,17.02,45
Top_Long_Unseen_0,4,0,-1,4,6.96,8.71,19.09,13.18,15.21,92
Top_Long_Unseen_0,5,1,250,5,3.9,5.16,9.38,12.57,15.26,36
Top_Long_Unseen_0,6,1,350,5,4.68,1.89,4.52,12.63,13.2,53
Top_Long_Unseen_0,7,1,250,5,2.92,4.29,8.22,13.1,12.56,43
